ID,EN,FR,DE
601,spirits,eau-de-vie,branntwein
602,freshwater,eau douce,susswasser
603,inland waters,eaux interieures,binnengewasser
604,hill farming,agriculture de montagne,landwirtschaft in berggebieten
605,international waters,eaux internationales,internationale gewasser
606,mineral water,eau minerale,mineralwasser
607,drinking water,eau potable,trinkwasser
608,saltwater,eau salee,salzwasser
609,groundwater,eau souterraine,grundwasser
610,surface water,eau superficielle,oberflachenwasser
611,territorial waters,eaux territoriales,hoheitsgewasser
612,wastewater,eau usee,abwasser
613,agricultural trade,echange agricole,handel mit agrarerzeugnissen
614,trading operation,echange commercial,handelsverkehr
615,subsistence farming,agriculture de subsistance,subsistenzbetrieb
616,information transfer,echange d'information,informationsaustausch
617,exchange of publications,echange de publications,austausch von veroffentlichungen
618,extra-community trade,echange extracommunautaire,aussergemeinschaftlicher handel
619,intra-community trade,echange intracommunautaire,innergemeinschaftlicher handel
620,trade by group of countries,echange par groupe de pays,handel nach landergruppen
621,trade by country,echange par pays,handel nach landern
622,trade by product,echange par produits,handel nach erzeugnissen
623,sampling,echantillonnage,stichprobenverfahren
624,extensive farming,agriculture extensive,extensive landwirtschaft
625,pay scale,echelle des salaires,lohnskala
626,lighting,eclairage,beleuchtung
627,school abroad,ecole a l'etranger,auslandsschule
628,european school,ecole europeenne,europaische schule
629,international school,ecole internationale,internationale schule
630,nursery school,ecole maternelle,vorschule
631,national school,ecole nationale,nationale schule
632,ecology,ecologie,okologie
633,ecologism,ecologisme,umweltbewegung
634,econometrics,econometrie,okonometrie
635,market access,acces au marche,marktzugang
636,intensive farming,agriculture intensive,intensive landwirtschaft
637,economy,economie,wirtschaft
638,agricultural economics,economie agricole,agrarwirtschaft
639,collectivised economy,economie collective,gemeinwirtschaft
640,concerted economic action,economie concertee,konzertierte wirtschaft
641,economies of scale,economie d'echelle,kostenersparnis durch grossserienfertigung
642,energy saving,economie d'energie,energieeinsparung
643,war economy,economie de guerre,kriegswirtschaft
644,business administration,economie de l'entreprise,betriebswirtschaft
645,mediterranean agriculture,agriculture mediterraneenne,landwirtschaft des mittelmeerraumes
646,market economy,economie de marche,marktwirtschaft
647,subsistence economy,economie de subsistance,subsistenzwirtschaft
648,transport economics,economie des transports,transportwirtschaft
649,controlled economy,economie dirigee,gelenkte wirtschaft
650,housekeeping economy,economie domestique,hauswirtschaft
651,forestry economics,economie forestiere,waldwirtschaft
652,industrial economy,economie industrielle,industriewirtschaft
653,world economy,economie internationale,internationale wirtschaft
654,mixed economy,economie mixte,gemischtwirtschaftliches system
655,national economy,economie nationale,volkswirtschaft
656,agri-foodstuffs,agroalimentaire,landwirtschafts- und ernahrungssektor
657,planned economy,economie planifiee,planwirtschaft
658,post-industrial economy,economie postindustrielle,postindustrielle wirtschaft
659,public economy,economie publique,offentliche wirtschaft
660,regional economy,economie regionale,regionale wirtschaft
661,underground economy,economie souterraine,untergrundwirtschaft
662,urban economy,economie urbaine,stadtische wirtschaft
663,scotland,ecosse,schottland
664,ecosystem,ecosysteme,okosystem
665,euro,euro,euro
666,agro-industry,agro-industrie,agro-industrie
667,publishing,edition,verlagswesen
668,education,education,bildung
669,home education,education a domicile,privatunterricht
670,art education,education artistique,kunsterziehung
671,comparative education,education comparee,vergleichende erziehungswissenschaft
672,basic education,education de base,elementarunterricht
673,mass education,education de masse,massenerziehung
674,adult education,education des adultes,erwachsenenbildung
675,education of foreigners,education des etrangers,auslanderbildung
676,non-formal education,education non formelle,ausserschulische bildung
677,continuing education,education permanente,fortbildung
678,physical education,education physique,leibeserziehung
679,pre-school education,education prescolaire,vorschulische erziehung
680,health education,education sanitaire,gesundheitserziehung
681,sex education,education sexuelle,sexualerziehung
682,special education,education speciale,sondererziehung
683,sweetener,edulcorant,sussungsmittel
684,number of pupils,effectif scolaire,schulerzahl
685,agronomy,agronomie,agronomie
686,radioactive effluent,effluent radioactif,radioaktives abwasser
687,equal pay,egalite de remuneration,gleichheit des arbeitsentgelts
688,equal treatment,egalite de traitement,gleichbehandlung
689,equality before the law,egalite devant la loi,gleichheit vor dem gesetz
690,egypt,egypte,agypten
691,el salvador,el salvador,el salvador
692,market enlargement,elargissement du marche,markterweiterung
693,citrus fruit,agrume,zitrusfrucht
694,registration of voters,inscription electorale,eintragung in die wahlerliste
695,election,election,wahl
696,early election,election anticipee,vorgezogene wahl
697,european election,election europeenne,europaische wahl
698,indirect election,election indirecte,indirekte wahl
699,local election,election locale,lokalwahl
700,national election,election nationale,nationale wahl
701,parliamentary election,election parlementaire,parlamentswahl
702,by-election,election partielle,nachwahl
703,international development association,association internationale de developpement,internationale entwicklungsorganisation
704,presidential election,election presidentielle,prasidentschaftswahl
705,primary election,election primaire,primarwahl
706,electorate,electorat,wahlerschaft
707,electrochemistry,electrochimie,elektrochemie
708,electrometallurgy,electrometallurgie,elektrometallurgie
709,electronics,electronique,elektronik
710,electrotechnology,electrotechnique,elektrotechnik
711,livestock farming,elevage,viehhaltung
712,economic support,soutien economique,wirtschaftliche stutzung
713,free-range farming,elevage au sol,bodenhaltung
714,crustacean farming,elevage de crustaces,krebstierzucht
715,intensive livestock farming,elevage intensif,intensive viehhaltung
716,pupil,eleve,schuler
717,right to stand for election,eligibilite,passives wahlrecht
718,waste disposal,elimination des dechets,abfallbeseitigung
719,emancipation,emancipation,volljahrigkeitserklarung
720,packaging,emballage,verpackung
721,pasture fattening,embouche,weidemast
722,bottling,embouteillage,abfullung
723,employment aid,aide a l'emploi,beschaftigungsbeihilfe
724,emigration,emigration,auswanderung
725,emilia-romagna,emilie-romagne,emilia-romagna
726,united arab emirates,emirats arabes unis,die vereinigte arabische emirate
728,issue of securities,emission de valeurs,emission von wertpapieren
729,issuing of currency,emission monetaire,notenemission
730,transport accident,accident de transport,unfall beim transport
731,designated employment,emploi reserve,pflichtplatz
732,white-collar worker,employe,angestellter
733,office worker,employe de bureau,buroangestellter
734,public service employee,employe des services publics,angestellter der offentlichen versorgungsbetriebe
735,employer,employeur,arbeitgeber
736,borrowing,emprunt,anleihe
737,foreign aid,aide a l'etranger,auslandshilfe
738,community borrowing,emprunt communautaire,gemeinschaftsanleihe
739,international loan,emprunt international,internationale anleihe
740,public borrowing,emprunt public,offentliche anleihe
741,food emulsifier,emulsifiant alimentaire,lebensmittelemulgator
742,indebtedness,endettement,verschuldung
743,wave energy,energie des vagues,wellenenergie
744,soft energy,energie douce,sanfte energie
745,export aid,aide a l'exportation,ausfuhrbeihilfe
746,hard energy,energie dure,harte energie
747,electrical energy,energie electrique,elektrische energie
748,wind energy,energie eolienne,windenergie
749,geothermal energy,energie geothermique,geothermische energie
750,hydraulic energy,energie hydraulique,wasserkraft
751,hydroelectric power,energie hydroelectrique,hydroelektrische energie
752,tidal energy,energie maremotrice,gezeitenenergie
753,nuclear energy,energie nucleaire,kernenergie
754,renewable energy,energie renouvelable,erneuerbare energie
755,aid per hectare,aide a l'hectare,hektarbeihilfe
756,solar energy,energie solaire,sonnenenergie
757,thermal energy,energie thermique,warmeenergie
758,child,enfant,kind
759,abandoned child,enfant abandonne,ausgesetztes kind
760,child of migrant,enfant de migrant,zuwandererkind
761,natural child,enfant naturel,nicht eheliches kind
762,only child,enfant unique,einzelkind
763,commitment of expenditure,engagement des depenses,mittelbindung
764,fertiliser,engrais,dungemittel
765,chemical fertiliser,engrais chimique,chemischer dunger
766,investment aid,aide a l'investissement,investitionsbeihilfe
767,organic fertiliser,engrais organique,organischer dunger
768,fattening,engraissement,mast
769,political kidnapping,enlevement politique,politische entfuhrung
770,economic survey,enquete economique,wirtschaftsstatistische erhebung
771,consumer survey,enquete de consommation,verbrauchsforschung
772,social survey,enquete sociale,sozialstatistische erhebung
773,data recording,enregistrement des donnees,datenerfassung
774,documentary reference recording,enregistrement documentaire,dokumentenerfassung
775,building subsidy,aide a la construction,forderung von baumassnahmen
776,fuel enrichment,enrichissement du combustible,brennstoffanreicherung
777,teacher,enseignant,lehrkraft
778,teaching,enseignement,unterrichtswesen
779,distance learning,enseignement a distance,fernunterricht
780,agricultural education,enseignement agricole,landwirtschaftsschule
